Year,Trimester,District,Neighbourhood,average rent (euro/month)
2014,1,Ciutat Vella,el Raval,589.55
2014,1,Ciutat Vella,Gothic Quarter,712.79
2014,1,Ciutat Vella,la Barceloneta,540.71
2014,1,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",673.44
2014,1,Eixample,Fort Pienc,736.09
2014,1,Eixample,Sagrada Familia,673.37
2014,1,Eixample,la Dreta de l'Eixample,921.4
2014,1,Eixample,l'Antiga Esquerra de l'Eixample,827.87
2014,1,Eixample,la Nova Esquerra de l'Eixample,716.13
2014,1,Eixample,Sant Antoni,693.43
2014,1,Sants-Montjuic,el Poble Sec,568
2014,1,Sants-Montjuic,la Marina de Port,553.55
2014,1,Sants-Montjuic,la Font de la Guatlla,631.5
2014,1,Sants-Montjuic,Hostafrancs,580.71
2014,1,Sants-Montjuic,la Bordeta,604.74
2014,1,Sants-Montjuic,Sants - Badal,584.27
2014,1,Sants-Montjuic,Sants,605.28
2014,1,Les Corts,les Corts,777.23
2014,1,Les Corts,la Maternitat i Sant Ramon,700.16
2014,1,Les Corts,Pedralbes,1230
2014,1,Sarria-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",837.33
2014,1,Sarria-Sant Gervasi,Sarria,1042.16
2014,1,Sarria-Sant Gervasi,les Tres Torres,1215.85
2014,1,Sarria-Sant Gervasi,Sant Gervasi - la Bonanova,927.63
2014,1,Sarria-Sant Gervasi,Sant Gervasi - Galvany,1053.7
2014,1,Sarria-Sant Gervasi,el Putxet i el Farro,750.84
2014,1,Gracia,Vallcarca i els Penitents,679.66
2014,1,Gracia,el Coll,583.93
2014,1,Gracia,la Salut,634.48
2014,1,Gracia,la Vila de Gracia,679.8
2014,1,Gracia,el Camp d'en Grassot i Gracia Nova,671
2014,1,Horta-Guinardo,el Baix Guinardo,622.63
2014,1,Horta-Guinardo,Can Baro,568.94
2014,1,Horta-Guinardo,el Guinardo,586.5
2014,1,Horta-Guinardo,la Font d'en Fargues,585.45
2014,1,Horta-Guinardo,el Carmel,478.7
2014,1,Horta-Guinardo,la Teixonera,492.79
2014,1,Horta-Guinardo,Sant Genis dels Agudells,557
2014,1,Horta-Guinardo,Montbau,537.94
2014,1,Horta-Guinardo,la Vall d'Hebron,737.73
2014,1,Horta-Guinardo,Horta,556.3
2014,1,Nou Barris,Vilapicina i la Torre Llobeta,555.89
2014,1,Nou Barris,Porta,523.29
2014,1,Nou Barris,el Turo de la Peira,475.06
2014,1,Nou Barris,Can Peguera,241.99
2014,1,Nou Barris,la Guineueta,613.58
2014,1,Nou Barris,Canyelles,563.33
2014,1,Nou Barris,les Roquetes,461.28
2014,1,Nou Barris,Verdun,503.47
2014,1,Nou Barris,la Prosperitat,521.81
2014,1,Nou Barris,la Trinitat Nova,442.94
2014,1,Nou Barris,Ciutat Meridiana,359.27
2014,1,Sant Andreu,la Trinitat Vella,461.1
2014,1,Sant Andreu,el Bon Pastor,488.14
2014,1,Sant Andreu,Sant Andreu,581.16
2014,1,Sant Andreu,la Sagrera,626.26
2014,1,Sant Andreu,el Congres i els Indians,563.42
2014,1,Sant Andreu,Navas,613.47
2014,1,Sant Marti,el Camp de l'Arpa del Clot,580.09
2014,1,Sant Marti,el Clot,604.85
2014,1,Sant Marti,el Parc i la Llacuna del Poblenou,704.67
2014,1,Sant Marti,la Vila Olimpica del Poblenou,926.43
2014,1,Sant Marti,el Poblenou,663.93
2014,1,Sant Marti,Diagonal Mar i el Front Maritim del Poblenou,866.7
2014,1,Sant Marti,el Besos i el Maresme,516.9
2014,1,Sant Marti,Provencals del Poblenou,635.7
2014,1,Sant Marti,Sant Marti de Provencals,643.66
2014,1,Sant Marti,la Verneda i la Pau,568.68
2014,2,Ciutat Vella,el Raval,550.63
2014,2,Ciutat Vella,Gothic Quarter,728.79
2014,2,Ciutat Vella,la Barceloneta,541.93
2014,2,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",676.98
2014,2,Eixample,Fort Pienc,706.16
2014,2,Eixample,Sagrada Familia,663.23
2014,2,Eixample,la Dreta de l'Eixample,948.96
2014,2,Eixample,l'Antiga Esquerra de l'Eixample,821.81
2014,2,Eixample,la Nova Esquerra de l'Eixample,708
2014,2,Eixample,Sant Antoni,718.01
2014,2,Sants-Montjuic,el Poble Sec,578.65
2014,2,Sants-Montjuic,la Marina de Port,454.44
2014,2,Sants-Montjuic,la Font de la Guatlla,624.88
2014,2,Sants-Montjuic,Hostafrancs,584.91
2014,2,Sants-Montjuic,la Bordeta,616.4
2014,2,Sants-Montjuic,Sants - Badal,569.68
2014,2,Sants-Montjuic,Sants,618.8
2014,2,Les Corts,les Corts,765.29
2014,2,Les Corts,la Maternitat i Sant Ramon,748.64
2014,2,Les Corts,Pedralbes,1459.12
2014,2,Sarria-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",1051.22
2014,2,Sarria-Sant Gervasi,Sarria,1030.35
2014,2,Sarria-Sant Gervasi,les Tres Torres,1327.22
2014,2,Sarria-Sant Gervasi,Sant Gervasi - la Bonanova,920.62
2014,2,Sarria-Sant Gervasi,Sant Gervasi - Galvany,1006.56
2014,2,Sarria-Sant Gervasi,el Putxet i el Farro,761.35
2014,2,Gracia,Vallcarca i els Penitents,648.32
2014,2,Gracia,el Coll,551.4
2014,2,Gracia,la Salut,702.33
2014,2,Gracia,la Vila de Gracia,673.79
2014,2,Gracia,el Camp d'en Grassot i Gracia Nova,665.44
2014,2,Horta-Guinardo,el Baix Guinardo,610.87
2014,2,Horta-Guinardo,Can Baro,525.04
2014,2,Horta-Guinardo,el Guinardo,564.1
2014,2,Horta-Guinardo,la Font d'en Fargues,772.41
2014,2,Horta-Guinardo,el Carmel,495.01
2014,2,Horta-Guinardo,la Teixonera,476.94
2014,2,Horta-Guinardo,Sant Genis dels Agudells,568.75
2014,2,Horta-Guinardo,Montbau,535.88
2014,2,Horta-Guinardo,la Vall d'Hebron,675.63
2014,2,Horta-Guinardo,Horta,566.67
2014,2,Nou Barris,Vilapicina i la Torre Llobeta,573.24
2014,2,Nou Barris,Porta,517.06
2014,2,Nou Barris,el Turo de la Peira,461.25
2014,2,Nou Barris,Can Peguera,295.39
2014,2,Nou Barris,la Guineueta,613.14
2014,2,Nou Barris,Canyelles,474.29
2014,2,Nou Barris,les Roquetes,448.6
2014,2,Nou Barris,Verdun,465.56
2014,2,Nou Barris,la Prosperitat,501.4
2014,2,Nou Barris,la Trinitat Nova,449.31
2014,2,Nou Barris,Torre Baro,320.21
2014,2,Nou Barris,Ciutat Meridiana,406.17
2014,2,Sant Andreu,la Trinitat Vella,407.26
2014,2,Sant Andreu,Baro de Viver,231.4
2014,2,Sant Andreu,el Bon Pastor,476.31
2014,2,Sant Andreu,Sant Andreu,573.12
2014,2,Sant Andreu,la Sagrera,622.71
2014,2,Sant Andreu,el Congres i els Indians,556.26
2014,2,Sant Andreu,Navas,590.17
2014,2,Sant Marti,el Camp de l'Arpa del Clot,592.63
2014,2,Sant Marti,el Clot,641.11
2014,2,Sant Marti,el Parc i la Llacuna del Poblenou,678.23
2014,2,Sant Marti,la Vila Olimpica del Poblenou,988.89
2014,2,Sant Marti,el Poblenou,644.01
2014,2,Sant Marti,Diagonal Mar i el Front Maritim del Poblenou,817.93
2014,2,Sant Marti,el Besos i el Maresme,480.69
2014,2,Sant Marti,Provencals del Poblenou,643.46
2014,2,Sant Marti,Sant Marti de Provencals,641.75
2014,2,Sant Marti,la Verneda i la Pau,569.14
2014,3,Ciutat Vella,el Raval,576.45
2014,3,Ciutat Vella,Gothic Quarter,790.74
2014,3,Ciutat Vella,la Barceloneta,578.88
2014,3,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",699.1
2014,3,Eixample,Fort Pienc,719.84
2014,3,Eixample,Sagrada Familia,697.69
2014,3,Eixample,la Dreta de l'Eixample,934.55
2014,3,Eixample,l'Antiga Esquerra de l'Eixample,869.72
2014,3,Eixample,la Nova Esquerra de l'Eixample,746.78
2014,3,Eixample,Sant Antoni,713.89
2014,3,Sants-Montjuic,el Poble Sec,580.89
2014,3,Sants-Montjuic,la Marina de Port,542.81
2014,3,Sants-Montjuic,la Font de la Guatlla,630.89
2014,3,Sants-Montjuic,Hostafrancs,605.58
2014,3,Sants-Montjuic,la Bordeta,603.16
2014,3,Sants-Montjuic,Sants - Badal,629.58
2014,3,Sants-Montjuic,Sants,624.78
2014,3,Les Corts,les Corts,786.29
2014,3,Les Corts,la Maternitat i Sant Ramon,768.46
2014,3,Les Corts,Pedralbes,1506.2
2014,3,Sarria-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",988.66
2014,3,Sarria-Sant Gervasi,Sarria,1081.14
2014,3,Sarria-Sant Gervasi,les Tres Torres,1386.13
2014,3,Sarria-Sant Gervasi,Sant Gervasi - la Bonanova,963.57
2014,3,Sarria-Sant Gervasi,Sant Gervasi - Galvany,1078.84
2014,3,Sarria-Sant Gervasi,el Putxet i el Farro,766.33
2014,3,Gracia,Vallcarca i els Penitents,642.66
2014,3,Gracia,el Coll,537.15
2014,3,Gracia,la Salut,684.28
2014,3,Gracia,la Vila de Gracia,691.69
2014,3,Gracia,el Camp d'en Grassot i Gracia Nova,711.14
2014,3,Horta-Guinardo,el Baix Guinardo,613.17
2014,3,Horta-Guinardo,Can Baro,536.04
2014,3,Horta-Guinardo,el Guinardo,585.39
2014,3,Horta-Guinardo,la Font d'en Fargues,703.15
2014,3,Horta-Guinardo,el Carmel,498.79
2014,3,Horta-Guinardo,la Teixonera,469.77
2014,3,Horta-Guinardo,Sant Genis dels Agudells,542.51
2014,3,Horta-Guinardo,Montbau,578.5
2014,3,Horta-Guinardo,la Vall d'Hebron,715
2014,3,Horta-Guinardo,Horta,562.86
2014,3,Nou Barris,Vilapicina i la Torre Llobeta,567.26
2014,3,Nou Barris,Porta,522.7
2014,3,Nou Barris,el Turo de la Peira,459.42
2014,3,Nou Barris,Can Peguera,145.45
2014,3,Nou Barris,la Guineueta,607.74
2014,3,Nou Barris,Canyelles,532.67
2014,3,Nou Barris,les Roquetes,444.29
